Year,CompanyID,DiversityMeasure
2014,Apple,1.0
2015,Apple,0.0
2016,Apple,0.0
2017,Apple,0.0
2019,Apple,0.0
2021,Apple,0.0
2022,Apple,3.220644193264423
2023,Apple,2.8729939141319454
2024,Apple,2.343987878851205
2008,General Motors,1.7320508075688776
2009,General Motors,1.2649110640673518
2010,General Motors,1.3416407864998738
2011,General Motors,1.0
2012,General Motors,2.333333333333333
2013,General Motors,2.1213203435596424
2014,General Motors,2.6726124191242437
2015,General Motors,2.6832815729997477
2016,General Motors,1.8888888888888888
2017,General Motors,2.0641873861685602
2018,General Motors,2.713602101199873
2019,General Motors,2.7990234679439046
2020,General Motors,2.4120907566221086
2021,General Motors,2.3737697042248325
2022,General Motors,2.7144561066029818
2023,General Motors,2.811602654901844
2024,General Motors,2.655811238272278
2008,L'Oreal,1.6329931618554523
2009,L'Oreal,1.414213562373095
2010,L'Oreal,1.511857892036909
2011,L'Oreal,2.23606797749979
2012,L'Oreal,3.0
2013,L'Oreal,2.6457513110645907
2014,L'Oreal,2.5584085962673253
2015,L'Oreal,2.523573072576179
2016,L'Oreal,2.345207879911714
2017,L'Oreal,2.8127197523150604
2018,L'Oreal,3.712790073055879
2019,L'Oreal,2.4947002649145458
2020,L'Oreal,2.390457218668787
2021,L'Oreal,2.2956848336683127
2022,L'Oreal,2.340039203898831
2023,L'Oreal,3.1774354589977274
2024,L'Oreal,2.5649458802128855
2013,Microsoft,0.0
2016,Microsoft,0.0
2021,Microsoft,1.0
2022,Microsoft,2.7080570468671796
2023,Microsoft,3.0719102765959923
2024,Microsoft,3.359849788908255
2008,Roche Holding AG,1.414213562373095
2009,Roche Holding AG,1.414213562373095
2010,Roche Holding AG,2.23606797749979
2011,Roche Holding AG,1.889822365046136
2012,Roche Holding AG,1.414213562373095
2013,Roche Holding AG,2.138089935299395
2014,Roche Holding AG,1.6035674514745464
2015,Roche Holding AG,3.0860669992418375
2016,Roche Holding AG,2.25
2017,Roche Holding AG,2.9704426289300225
2018,Roche Holding AG,2.324952774876386
2019,Roche Holding AG,2.335419291461871
2020,Roche Holding AG,2.0354009783964297
2021,Roche Holding AG,2.7456258919345764
2022,Roche Holding AG,2.930492494367113
2023,Roche Holding AG,2.853216618208743
2024,Roche Holding AG,2.64749250987831
2008,Samsung Electronics,1.414213562373095
2009,Samsung Electronics,0.0
2010,Samsung Electronics,0.0
2011,Samsung Electronics,1.0
2012,Samsung Electronics,0.0
2013,Samsung Electronics,1.414213562373095
2014,Samsung Electronics,1.0
2015,Samsung Electronics,1.0
2016,Samsung Electronics,1.212678125181665
2017,Samsung Electronics,1.0
2018,Samsung Electronics,2.1213203435596424
2019,Samsung Electronics,1.414213562373095
2020,Samsung Electronics,1.414213562373095
2021,Samsung Electronics,1.8382900600361158
2022,Samsung Electronics,2.7508051791899533
2023,Samsung Electronics,2.162952281743501
2024,Samsung Electronics,2.1447610589527217
2008,SAP,1.7320508075688776
2009,SAP,1.0
2010,SAP,1.8073922282301278
2011,SAP,1.0
2012,SAP,2.4494897427831783
2013,SAP,2.5584085962673253
2014,SAP,2.9824045403173023
2015,SAP,2.5235730725761796
2016,SAP,2.359000952984802
2017,SAP,3.2429332885829454
2018,SAP,2.170318035180968
2019,SAP,3.0922789419336616
2020,SAP,2.089618907129596
2021,SAP,2.5678843141283196
2022,SAP,2.788610696098665
2023,SAP,2.254918199105255
2024,SAP,3.220644193264423
2008,Shell,1.0
2009,Shell,2.333333333333333
2010,Shell,1.6329931618554523
2011,Shell,2.23606797749979
2012,Shell,1.7320508075688776
2013,Shell,2.713602101199873
2014,Shell,1.0
2015,Shell,1.885618083164127
2016,Shell,2.9593201512468634
2017,Shell,1.982481414323861
2018,Shell,1.7565506213798918
2019,Shell,2.333333333333333
2020,Shell,1.975658322294524
2021,Shell,2.172857905020445
2022,Shell,2.2917462425705284
2023,Shell,3.1146512857106394
2024,Shell,3.4320323649182205
2009,Volkswagen,0.0
2010,Volkswagen,0.0
2011,Volkswagen,0.0
2012,Volkswagen,0.0
2013,Volkswagen,0.0
2014,Volkswagen,1.0
2015,Volkswagen,1.3416407864998738
2016,Volkswagen,1.414213562373095
2017,Volkswagen,2.0
2018,Volkswagen,1.414213562373095
2019,Volkswagen,1.414213562373095
2020,Volkswagen,1.414213562373095
2021,Volkswagen,1.6059101370939322
2022,Volkswagen,1.889822365046136
2023,Volkswagen,2.4494897427831783
2024,Volkswagen,1.0
2012,Volvo Car,0.0
2013,Volvo Car,1.0
2014,Volvo Car,0.0
2015,Volvo Car,0.0
2016,Volvo Car,0.0
2017,Volvo Car,0.0
2018,Volvo Car,1.0
2019,Volvo Car,1.3416407864998738
2020,Volvo Car,2.0
2021,Volvo Car,2.25
2022,Volvo Car,1.889822365046136
2023,Volvo Car,1.8090680674665818
2024,Volvo Car,1.9639610121239315
